Comment Head	Comment Body	Comment Rating
 Very Good Movie	"I really enjoyed this movie, yes pretty much everyone in it is screwed up but it's also very realistic. Their depiction of bored boys in Vermont in the 1980s is dead on. What happens after is very interesting with the East Village, CBGBs and the relationships and how they progress. I recommend this movie and had no problem ""figuring out"" who was adopted etc. Then again, I like movies that don't spoon feed everything. I'm suppose to write 10 lines of text but don't want to include any spoilers. All the actors did a great job, especially Ethan Hawke and I love seeing Julianne Nicholson again in a movie. She is such a natural actress. I wasn't big on the actress who played the rich New York mother, however."	8
 A captivating story	"This film tells the story of three parents, and their four teenage children who live chaotic lives in New York.I didn't think I would like ""Ten Thousand Saints"" at first because their world is so different from mine. The father, played by Ethan Hawke, is an irresponsible parent beyond imagination. He even shares illegal drugs with his son, which is really beyond me. Yet, soon afterwards the characters grow on me and I care much about their well-being and happiness. Hailee Steinfeld's character as a pregnant teenager really stands out, the things she has to go through is tough even for an adult. The scene that she confides that she does not remember what Teddy looks like is quite breathtaking.""Ten Thousand Saints"" has great character development, and an captivating story to go with it. I certainly hope there will be a happy ending for the children in the untold future."	
 I like the story and the punk rock influences behind it.		7
 huffing and puffing		6
 Everything can change...		6
 More Than Meets the Eye	"I wound up liking this a lot more than I thought I would. For the first 20 minutes or so I felt it dragged but then picked up. Overall I thought the acting was excellent, especially Ethan Hawke who played his somewhat complex character splendidly. What I really liked was that most of the characters stepped outside of stereotypical bounds. Hawke's character was a stoner, but in some ways level-headed and responsible. Johnny, the punk singer and tattoo artist, was trying to stay straight and walk the spiritual path and succeeded reasonably well. I read other comments which complained that ""nothing happened"" in the film. This is not an action film; it's a relationship movie, and given that, I believe it worked well. Plus, the characters all showed some degree of evolution. The scenery, with 1980's East Village was done really well too, very realistic, Twin Towers and all."	7
 Indie Becomes Too Clichéd to be Totally Effective	"The filmmakers here, Shari Springer Berman and Robert Pulcini (American Splendor, The Extra Man) throw in too many plot machinations and go in too many directions, in my opinion, which dilute the intensity of this indie drama. As a result, the characters here come across as rather cardboard-like and clichéd, and I was unable to really connect emotionally or care much about them.Set in the 1980's in Vermont and New York City, the movie does have an all-star cast which includes Ethan Hawke, Asa Butterfield, Hailee Steinfeld, Emily Mortimer, and Julianne Nicholson. I did think that they each portrayed their individual characters quite well.However, without going into too many plot elements, let me put my ""moral police hat"" on and say I think the film went over-the-top with its rampant depictions of drug use, which included a drug-dealer father (Hawke) enticing and offering his son (Butterfield) drugs. This is right after his son's best friend OD'd in front of him, and after his son was already getting high on weed, turpentine, mushrooms, and Freon. Thus, between the drug use, the promiscuousness, teen pregnancy, and other plot elements, it was hard to really like any of these characters.Overall, a mixed bag here as the acting was strong but just too many contrived and unlikable characters and plot elements going in too many directions to win me over completely."	6
 Indie drama, comedy of coming of age and loose parenting skills.		7
 Straight edge? More like no edge		2
 Fragile NY Relationships	Great re-creation of fragility of relationships in a late-80s mainly NY setting. Performances and direction are first-class. (Watched 8/'16)	9
