Comment Head	Comment Body	Comment Rating
 Van Damme in Taken - rescuing a missing girl solid direct-to-video action flick	a	7
 Good - Probably would watch it again sometime.	b	7
 I was TAKEN by surprise!!!	""	8
 JCVD has another hit on his hands	d	8
 Standard but Good DTV	e	6
 A great Van Damme movie...	f	7
 Above Average for a direct to DVD movie, an upswing for Van Damme	"Finally ! Van Damme seems to be getting his act together and putting out a better product. This is one of the best ""straight to video"" movies he has done, kind of on par with Desert Heat and Legionaire, and dare I say almost good enough that it could have had a theatrical release. The plot borrows heavily from ""Taken"" and a few other movies but is pulled off well and JCVD is in good physical shape for this film, despite his haggard face. Could have used a bit more hand to hand fight scenes, but what we are given is filmed well. Definitely worth a view if you are a Van Damme fan, something that couldn't be said for most of his movies made in the 2000s. Let's hope he can maintain this momentum and have a bit of career resurgence like Stallone."	8
 Van Damme delivers 6 Bullets		6
 Van Damme is in top form		6
 At the budget is one of the best movie of last year, my grade is the maximum. Van Damme has an unforgettable performance!		10
 Not bad for a direct to video film, not great either - Minor spoilers	"Six Bullets is directed by Ernie Barbarash. Who recently directed Assassination Games also starring Jean Claude Van Damme and Scott Adkins. Six Bullets was recently screened at Cannes 2012 and here is my Review (contains spoilers):Van Damme plays a depressed, ex military (or something along those lines. It's never really discussed) by the name of Samson Gaul who is hired to rescue the daughter of an MMA fighter, Andrew, played by Joe Flannigan. Joe portrays the equivalent of Floyd Mayweather in the MMA world. Surprisingly, you get the feeling that Van Damme is not the lead in this film and from the off set it's apparent that Joe Flannigan is the main attraction here. Joe is an 'MMA fighter' whose daughter has been kidnapped due to his spiraling debts, you later learn that Joe is due to throw a fight and bets against himself for a large sum which he owes to ""Vlad"". Things don't exactly go accordingly and Vlad deploys a number of his team to kidnap Joe's daughter, Monica. Andrew then realizes that he is in over his head and calls on an old ally who is renowned for his recover of small children. Fans of Jean Claude will be pleased with what he has to offer and looks in tremendous shape when he is boxing a hanging piece of meat a la Rocky style with Joe Flannigan (There are a few references to Sylvester Stallone, Jean Claude saves the best for last which I won't spoil). Samson and his son set out to rescue Monica and reunite her with her father. Kristopher Van Varenberg is surprisingly entertaining in his role as Samson's son and his shoot-out albeit with the rather unimaginative villains is similar to the Van Damme movies we all grew fond of as a teenager and he certainly has the ability and is worthy enough of carrying the Van Damme name if he so chooses. The main shoot out takes place outside an old mansion and the slow motion 'shoot and kill' moment is very similar to that of the slow motion capture used in his father's earlier films such as the Hard Target. Kris also adds an element of comedy the way he dismembers one of the henchman in the knife scene that takes part in mansion's kitchen. Van Damme's daughter, Bianca Bree/Van Varenberg/Van Damme, I am not sure what she names herself, makes a brief appearance although it really feels like she happened to be on set and they threw a small cameo at her to keep her father happy. Overall, there are a few action scenes that we have become accustomed with in a Van Damme film – He certainly displays better punching prowess compared his more recent DTV efforts, he takes out three guys Transporter style in the end mansion finale in a small hallway. Although there is more gun action than fight scenes, there isn't really a need for Van Damme to demonstrate his kicking ability as there isn't the opportunity to do so. In fact, I would have expected more from Joe Flannigan's character given his supposed background as an MMA fighter. Joe doesn't participate in too many action scenes and it's transparent he doesn't have any interest in becoming an action star. He should have been a more lovable rogue than an MMA fighterYou kind of hope that Van Damme has more dialogue in the movie. Throughout the film, you feel slightly frustrated that he is not presented with more dialogue and most of his lines are no more than one or two in length. For those that have seen Assassination Games will instantly feel the Barbarash vibe to this movie, the tone, well used locations and pace of the movie more than give this away. The story is all too familiar in the direct to video market and isn't going to win any awards and fans of low budget, action, direct to video movies will enjoy this – I give this 6/10."	6
 Comically horrible	This movie is not boring, as it is just horribly executed and edited. The acting is unconvincing. The opening sequence was filled with action and some pretty good knife play, but it's clearly fantasy when people drop dead immediately from a cut to the neck without as much as a drop of blood, and of course no stains on JCVD's pristine white shirt. It's the little things like that which pull me out of the story. It's the reminder that I'm just watching a bad movie. I laughed out loud at many of the scenes because of the blunders. They don't even bother covering the fact that they're using blanks...one scene toward the end, some dude loads a bolt action sniper rifle with what is clearly a crimped blank round. Then they show some surveillance feed that shows the rear of the surveillance camera in the feed...what???? Comically horrible. The issue of human trafficking deserves a better movie.	2
 Everyone reviewing this film must be 12 years old. This is a terrible film, and I'm a JCVD fan!		1
 Definitely a B movie...but in terms of actors who used to be famous but still make movies Van Dammes are watchable. I say B-.	"""I know you mean well but your not a cop, your a soldier and this is not Africa or Afganistan."" Samson Gaul (Van Damme) is the best at what he does. He is an ex-mercenary who finds missing children where ever they may be. When one mission goes wrong and he finds the girl he was looking for but other children get killed as collateral damage he vows to give up and no longer be in that line of work. When famous MMA fighter Andrew Fayden's (Flanigan) daughter goes missing he offers Samson a job that he can't refuse. Before I start I have to say that this is not as bad as I expected...but I expected a typical Van Damme movie. While it's still a B movie this is actually watchable. I am not saying I am a fan at all but if I had to choose between a new Val Kilmer, Dolph Lundgren, or Steven Segal movie after watching this one I would have to go with Van Damme. This is a movie where you pretty much know what your going to get going in and it doesn't disappoint in that sense. Nothing to run out and watch but in terms of movies starring action heroes who used to be famous this is not bad at all. I give it a B-."	5
 An Extremely Boring Van Damme DTV Release...That Barely Has Him In It...		3
 Fast pace action with minimum spoilers.	As usual John-Claude Van Damme is back in the action, but this time it involve children kidnapped for human trafficking and all the sick, sick thing involved. Backed by Joe Flanagan of Star Gate Atlantis fame and the father of a kidnapped American fourteen year old girl. In the movies Flanagan plays a professional fighter and makes a suitable back up for Van Damme's knife play and fighting. JCVD is of course because of age has limited his high kicking karate kicks. Instead he's integrated all sorts of fire power, gas and fire bombs. I could have done without one event towards the end of the movie, but other than that it was well acted and it was nice to see Van Damme's real life son playing his son in the movie.	8
 Would have been a great film, if they had left out the bits between the action scenes	It's got the feel of an 80's B Movie. Also, the way it is shot makes it look more like a TV production than a feature film, but that could play towards its retro charm. So much so good, but unfortunately the script progressively deteriorates towards the second part of the film, until the plot takes turns that are so hair-raisingly stupid that it made me cringe. All of this is compounded by a cast that for the most part fails to even remotely convince in their roles. At least in my humble opinion, not even JCVD's decent performance can't quite salvage the film. The action scenes are good, although the majority of the good martial-arts stuff is in the first part of the film. So, beware, this film is only for JCVD die-hard fans.	2
 Was actually not that bad.	I had little hopes honestly thinking Im going to fall asleep on it. Actually when it starts it starts out pretty decent. A few people get there *** kicked by him. The one thing I like most about the movie is it has that action feel to it but it also has its sad parts that make you go aw. This is my first review All i'm saying s this movie is way better than assassination games. I think van Damme starting to come back up there with the big guys SLOWLY tho. I think This was a good choice for Van Damme to go. it does have some nudity just the regular pole dancers etc. I also think another movie worth checking out would be Steven Seagals new movie called Maximum Conviction starring Stone Cold Steve Austin Seagal is coming back to the top as well for being 60. check both these movies out.	5
 Action Drama	Do not watch this expecting hand to hand combat (well not too much of that anyway). There are a few of those, but there is more gun action, than fist fights going on here. You also have van Dammes son here (under his fathers real last name) and his daughter (who changed her name, though I'm not sure, if it's because she's married or just a name change to sound good), both not the greatest actors in the world, but get the job done.Van Damme too delivers and plays his character really good. It's a stellar performance, a stellar script with some supernatural touches and an engaging story overall. This still won't change the mind of some people concerning van Damme of course. But maybe due to his recent revival (Expandables 2), he will be able to do movies he always wanted to do (next up is a comedy in 2013 and that's something he's been dying to make!)	6
 Taken away		4
 A surprisingly strong DTV effort from Van Damme	Jean-Claude Van Damme stars in another above-par DTV outing, and proves that he's still relevant (at least more relevant than Steven Seagal). There's nothing too special about the story, seeing as it's been done before in various forms (e.g., TAKEN). Even the cinematography isn't too unique, and has a washed-out palette that is all-too-common in these types of movies. But unlike TAKEN, this movie actually takes the time to develop its characters and give you reason to care about them. In other words, it's not all ass-kicking and one-liners (and in fact, there really isn't any humor). The run time is a little overlong (by about 15-20 minutes), but it's spent with characters you can identify with and a story that has some dramatic impact. Definitely for JCVD fans, but also for anyone looking to branch out beyond the middling action fare that Hollywood churns out nowadays.	7
 WHAT IN THE WORLD is this doing at 6.1?	"Don't get me wrong. I actually kinda dig the older Van Damme flicks, and JCVD was decent(maybe his best actually).. Bloodsport was good for what it was(a b-action flick).There are so many problems here that it will be hard to pick out the worst. Let's just say that you may be better off viewing this as a comedy. And I have no Idea what this is doing in the 6's. SOrry if it duped you into renting it too.The first moment I'll mention comes fairly early in the film when Jean faces off against some villains in a room. He takes out the lights and puts on his ""night-vision"". The camera bounces back-and-forth between his ""fluorescent"" green/yellow night vision view, and then back to the regular view, which should be near-pitch black(hence the reason for night-vision), but it's not, it's like ""library"" dark, the kind of dark that's darker that usual but no problem seeing much of anything. It's laughable.Another moment comes late when Jean(and the couple he's helping) scout out the hide-out of the enemy and come together to talk about a plan. I prepared myself for this mind-blowing idea that turned out to be her pulling up to the gate and getting approached by one of the enemies, and then Jean jumping-in from the side onto the guy... really...? that was the ""masterplan"".. this stuff happens every 5 minutes here.Couple all those stupid moments with some deplorable acting, bad set-pieces, and an unoriginal and poorly written script, and you have yourself a real stinker. In hindsite, JCVD and Bloodsport are the only Jean Claude films that I would rank at or above a 6... this is not even in the same ballpark.Save your money and your time. 34/100 You might like this if you liked: Lionheart(better), Cyborg(better), and Legionaire(about equal or slightly better). This amounts to an absolutely terrible remake of ""Taken"". 6.1? Hilarious. As a comedy - maybe 5.1."	3
 Not bad but could have been better	First I will start with the positives, Van Damme gives a solid acting performance and shows he is still a master of fight scenes, he also looks in the best shape he has been in for a while. The film starts off with good pace and the supporting roles are adequately acted, yes it is very much a low budget Taken film but holds it's own for the first half. For me that is when it it loses it's way, in the last third the drama and action seems to go missing and I found myself losing interest (maybe I was tired!), usually the action at the end makes up for this but unfortunately I was disappointed. With the same director as Assassination Games it certainly feels similar to it, but as with AG I just felt it could have been better. Don't get me wrong it's not a bad film and has some good action sequences but just seems to lose momentum towards the end.	6
 THIS IS WHAT I DO	"This is another teen abduction/ Eastern European sex trade/ rescue movie. Samson Gaul (Jean-Claude Van Damme) is the village butcher who moonlights as a mercenary. His accent varies throughout the film. His son (Kristopher Van Varenberg) who works at the US embassy, sends him clients.When Andrew Fayden(Joe Flanigan), an American cage fighter's daughter Becky (Charlotte Beaumont) is kidnapped, he calls on Samson who is reluctant to take the case. On his last case he generated a significant amount of collateral damage that wasn't as funny as when MacGruber does it.The movie has a slight twist which really wasn't much of a twist. Monica Fayden (Anna-Louise Plowman) mouthing statistics in the middle of the film made me think this was a 93 minute public service announcement. In addition to beating up people, Samson uses elaborate high tech stuff. He is capable of setting up complex traps in a matter of moments. The movie ""Taken"" has set the bar for this genre and unfortunately this one doesn't measure up. Will work as a rental.Parental Guide: F-bomb, no sex, no real nudity. Women in strip clubs scantily dressed. One woman with large pasties...nothing we haven't seen at Superbowl half time."	6
 One of the better Van Damme movies from the last few years..	"An ex-mercenary known for finding missing children is hired by a mixed martial arts fighter whose daughter has been kidnapped. Six Bullets is without a doubt one of Van Damme's best films from the last few years it's quite fun but also action packed with terrific martial arts sequences but also very dramatic driven with Jean Claude being haunted by a job that went ""terribly wrong"". Personally if you love JCVD's films or a good and relaxing action movie this is the picture for you but if not? probably i would advice you to skip it and see something else. (A+)"	10
 Jean Claude is back and he has never even been here before...		6
