Comment Head	Comment Body	Comment Rating
 Disturbing, effective film	8MM is a very dark, disturbing film that isn't for everyone. Nicolas Cage puts in an excellent performance as a private detective named Tom Welles who is hired to investigate whether a snuff film is real or acted.  His journey takes him farther and farther into the realm of pornography. Every minute of this film is suspenseful and riveting.  I also found Joaquin Phoenix's performance to be outstanding as well.  This movie does a wonderful job of creating a dark mood and exploring the motives and drives behind its characters.  One of Cage's best, and a severely under-rated film.	8
 A dark, graphic view into the underworld of pornography		8
 Disturbing subject matter, yet a great film!		9
 Well made, but disturbing. Watch with care.	"I walked into the movie theater last Friday not expecting at all what I was about to see. I'd heard about it, thought ""Oh, another Seven"". Same screenwriter, but I was way off track. I can stomach a lot, having no problem stuffing down popcorn during very graphic scenes. In 8MM, my coke had trouble going down. 8MM did not have consistent gory/violent scenes, but the way the movie was made made you fill in the blanks of what the makers of the movie could not screen. And if you pay attention and immerse yourself, you fill in more blanks than you really think you could, or want. As Max put it: ""the devil changes you."" The perversity and deep rottenness of the human minds displayed in 8MM is what disturbs you. Then you realize, that ""snuff""-movies are real, that there are individuals twisted enough to endorse/enjoy/take part in it. And worst of all, that these individuals don't look like monsters, they're perhaps just overweight nearsighted men who look like your dad, your son, your brother, even yourself. And if you don't look out,(no matter how secluded you think you are in your suburban home, with a wife, a daughter, and a dog named Shep) you dive into the pit of perversion and rottenness as well, finding no way out. In conclusion: excellent music, acting very sufficient, the plot: a must see. Just don't bring popcorn, and prepare to walk out of the movie theatre disturbed, asking questions, and a little bit more suspicious of those walking around you, and yourself."	
 An Voyeuristic Thriller About Human's Capacity For Evil		8
 Not for the faint of heart		7
 Schumacher's best work	In the list of my 10 preferred films 8MM occupies the fifth place. This film is simply perfect. To begin the music is excellent, it contributes to give an at the same time sad, strange and beautiful particular environment. Then the actors whose initially Nicolas Cage are all very talented, especially Joaquin Phoenix and James Gandolfini. The scenario writer Andrew Kevin Walker who had largely proved reliable with Se7en did an extraordinary work. But what I enjoyed me the most in this film it is that there is a morals. In its investigation Nicolas Cage tests each minute more and more compassion for the wildly assassinated young girl whom it ends up making the decision not only to find all the authors of the snuff but of all to kill them.That's what I call a hero. This film is not on violence or sadomasochism but on the punishment. If in the true life each time that a snuff is carried out all passed as in 8MM,it would be a large thing.For me it is the best film of Schumacher which is at all events one of the largest realizers of the world. 10/10	10
 Very gritty and dark		8
 One of best movies I have seen	"8MM is one of best movies I have seen. Nicolas Cage plays his role very good, which I expected having seen ""Lord or War ""recently. The plot is interesting and so are the dialogs between characters. There are quite a few tense moments in the movie  which is probably why I liked this movie that much.Again trough it is only a movie as someone may say  it shows you a bit of the reality out there- the one which people don't want to admit that it exists. The movie is basically a mystery with some action elements. My opinion is that its rating on IMDb should be much higher  but well I guess not everyone likes movies like this one  trough I wonder why since there are many other movies that are much harder to watch than this one.One of the best things about 8 MM is its soundtrack honestly it is rare to find such a carefully chosen music to go with the scenes."	8
 Beware Of Brutal Topic	"Wow, this is a tough subject but not as sordid a film as I figured it would be, although be warned the last 30 minutes are really rough in spots. Speaking of spots, this is a bloody movie in spots, too and very profane after the first 40 minutes. Yet, despite the unpleasant nature of the story (making a ""snuff film"" - filming the killing of people) it's a riveting one, well-acted and doesn't overdo the violence. The characters in here are some of the most despicable you could find - killer and porn kings.Even our hero here, played by Nicholas Cage, starts off as a clean-cut fairly straight dude, and changes for the worst, too. Joaquin Phoenix has a good line in here, with the prophetic statement, ""The devil doesn't change; he changes you.""James Gandolfini and Peter Stormare play characters about as bad you'll ever find in a movie. This film is not, as they say, for all tastes. It will turn off a lot of people but it is interesting and good revenge story, if you like that sort of thing and know what you're in for before watching this."	6
 A Haunting and disturbing Brilliant Realistic Masterpiece!!	The intensely intriguing storyline of 8MM follows the haunting search by a private investigator (played superbly by Nicolas Cage) for the makers of a grotesque and disturbing snuff film in which a young woman is murdered. Starting by looking through endless missing persons files (in an attempt to identify the victim), Cage ultimately follows leads to the world of underground seaze films and the people who are involved in making them. Throughout his creepy investigation, Cage becomes more and more disturbed by the Snuff film and stops at nothing in an attempt to track down answers to what really happened.  This film is So intriguing and suspenseful, there are scenes that will leave your heart pounding in anticipation of what's to come.  I don't know if I have ever seen such an intriguing and suspenseful Drama/Thriller ever before!  This film is so realistic, there are times when you feel as if what is going on is real, and you begin to feel more for the characters than you usually do in a film.  The last 20 minutes of the film are heart pounding and breathtaking!  Director Joel Schumacher delivers one of the most mind haunting dramas you will ever see and gives us a story that won't be easy to forget.  It's dark, moody, creepy, brilliant, and disturbing!  And when all the pieces finally come together, you'll be glad you went along for the ride.  Wow, It's a sick world we live in!!  I give this movie 4 out of 4 stars!	
 A solid thriller!	"Some sensitive-minded people may surely be disturbed by the dark revenge and self-justice in this film, but ""Se7en""-author Andrew Kevin Walker has done another fine work with his script! Although the storyline is obviously taken from Paul Schrader´s ""Hardcore"" (1974,?) the film is suspense-packed, violent and endowed with good performances of its actors, especially Peter Stormare did a brilliant job with playing the weird bondage-porn director Dino Velvet! I also was truly surprised how good director Joel Schumacher had created a morbid atmosphere, just in unhappy memory of his disastrous ""Batman & Robin""-flick..! Another pleasant fact is, that ""8MM"" doesn´t deal with the Hollywood-typical stereotypes and clichés, so finally we´ve got something we could really call a dirty mainstream production - or at least a nice try of it!"	7
 Fantastic!!	8MM was a very dark and powerful film featuring the seedy underground world of pornography and snuff movies. It was, to be frank, fantastic. Nic Cage, rapidly becoming one of my favourite actors, walks through with a disgusted air and even Joaquin Phoenix, who I've never been that impressed with, hit the nail as a porn shop managerDeeply disturbing, yes. Highly compelling, yes. A good buy... you bet!	8
 Not A Fun Friday Night Movie, but....	"There are some movie's that i like to watch over and over again, with friends or by myself to relax. This is not one of those movie's, i have seen it all the way through exactly once and i don't intend on renting it any time in the near future. I still gave it a high rating though because it is such a powerful film, it screwed with my head and made me think, i don't always do that with film, most of the time i just like to relax, which is why this is not one of those movies i like to watch over and over again, still, a very well made movie and worth a look if one is in the mood for a disturbing, renching, powerful ""think film""."	10
 A similar formula....		8
