Comment Head	Comment Body	Comment Rating
 Funniest (and most surprising) movie of the year		10
 Don't listen to the haters	"People are really split on this movie. The haters are all either people who are offended by the idea of group sex, annoyed there wasn't more T&A, or (strangely) both. They seem to forget that this is a comedy, and a comedy should be rated by one thing only: how funny it is. This was really really funny.I don't know how a movie like Hall Pass which had at most 5 laugh out loud lines could do better than Orgy which had at least 50. Just goes to show that movie success is based more on marketing than anything else.The one criticism I have is it suffers a little Ferris Beuller-itis. Am I really supposed to root for this spoiled white rich kid? Once the movie gets going though you quickly forget this and just hold on for the ""ride."""	10
" Jason Sudekis and friends have ""A Good Old Fashioned Orgy"""		
 You'll split yourself!!	Firstly you have to be really open-minded to watch this. Even though the Orgy itself features in the movie, the whole story revolves mainly around the planning, personal opinions and feelings of the characters regarding the topic. The Humour was fast and witty. There was a bit of nudity featured but nothing to get upset about if you're open-minded enough to watch this Movie to start with. In General I found it highly entertaining and would recommend it to anyone who isn't going to be deterred by their religious beliefs or conservative upbringing. There were definitely a few scenes where I found myself gasping for air due to hysterical laughter. This is the New-age guys. You don't have to believe in it - but it was a blast! I loved it!!	8
 Really funny and refreshingly real...	I love all the comedians in this movie (SNL, The League, Talladega Nights, MacGruber)and thought that this was going to be a fun film with a bunch of ridiculous one liners and some wonderfully uncomfortable situations. I didn't expect to like it so much, have it be so much fun and for it to be such a great story about friendship. And the craziest part is that in the end it really seemed like a bunch of friends could actually pull off an orgy and it might actually not be too weird afterward. Genuinely inspirational. With this bunch of funny folks I can't wait to see the DVD extra bits.	10
 Fun, if you keep your expectations low		5
 A great comedy for an adult audience...		7
" Very funny movie with comedy like ""Change-Up"" More people would watch if title was different. I love it. I say A-"	"""People used to have them all the time, what happened to our generation? I'll tell you what happened...AIDS."" A close group of 30 something year old friends who have been friends since high school find out that their party house is being sold they try to come up with one last blowout party. After a few suggestions they decide on the most extreme one yet...an orgy. This is a movie that I think will only do well be word of mouth from the brave people who watch it first. I really loved this movie and laughed the entire way through. I think that the biggest problem this movie has is the title. If it was called The Last Party, or Growing Up or even Friends Forever I think it would have done better because most people are either too offended or uptight to see a movie with this title. I will say there is quite a bit of nudity and sex in this, but nothing outrageous and a little more then ""Hall Pass"" or the ""Change-up"" (which is the same type of comedy this is). Don't be afraid of the title or embarrassed to watch it, this is a very very funny movie. Overall, a very surprisingly sweet and funny comedy that fans of ""Change-Up"" will love. I loved it. I give it an A-."	8
 What do you call an R-rated film that should be rated PG-13?	"So, why am I giving only 5 out of 10 to A Good Old-Fashioned Orgy? For that, I have an answer: they screwed it up. That is to say the producers and the director screwed it up. First of all, there are a lot of funny people in this movie, and there are some great throw-away lines that just melt off the dialogue spool until the simile runs out of its metaphorical fishing pole. And even though we have the same setup here that a lot of successful - if not great - R-rated comedies do (Hot Tub Time Machine comes instantly to mind: not that great a film, but good enough to remember instantly when talking about another comedy which is less successful), we do not have a really successful (i.e., it makes people laugh) movie. Something happened on the way to an R-rating for a basically PG-13 film. I can't pretend to know what happened, how it happened, or why, but it happened. And what you get is a very tame ""orgy"" that could have almost been on Lifetime save for one short boob shot from the lovely Angela Sarafyan. One. I can't remember a single other boob shot in the movie though there may have been one or two.So, clearly, other than language, we have a PG-13 movie. So why not clean up the language and just go for PG-13 which would, ostensibly, make more money because it opens up the movie to that magic demographic of 13-18 year-olds who, well, buy everything?Did Reed Hastings - the smooth-mover who built then destroyed Netflix - produce this movie? Aaaaarrrrgh.no, he did not. Peter Huyck and Alex Gregory did, and they are two really funny dudes who have produced some of TV's best series including the Larry Sanders Show, King Of The Hill, and Frasier. Did Reed Hastings direct AGOFO? He did not. The same producing duo directed the film as well. In other words the fault lies with them (yes, the company that financed the venture might have been pressuring them, but I don't know that for sure). And I'm left with the same conundrum: Here is a very lightweight R movie that would have fared better if it had done one of two things: 1. Gone for the R and made it a lot more naked, or 2. Cleaned up what little there is and get the coveted PG-13. What's there is just not strong enough for either. But lest you think I am hung up on a ratings thing, let me say that the storyline failed to punch up the jeopardy (whoa! Dad's going to sell the house, how can we stop that from happening? And then maybe written in three hilarious attempts to do that – all of which fail. And THEN plan the naked orgy party of ALL TIME! And then, for God's sake Peter Huyck and Alex Gregory, DELIVER THE GOODS! Make it happen, Guys, because what you've done is left a fish gasping on the dock and in grave danger of not working at all as a metaphor for the film's failure! Now that's jeopardy.But we never feel that we have an all or nothing situation happening here. Nothing that happens HAS to happen. And when they do have their orgy, the camera suddenly goes all coy on us. Some lovely people in the film who look good all over never even get down to bikinis, well maybe at the end, but nothing whatever sexy ever happens. And sexy is what the word ORGY promises! ORGY=SEXY. Simple lexical algebra. It's false advertising. And people break orgy rules like the guy whose girl does actually flash the only set of tots in the movie goes berserk and insists that she not be in the orgy after all. Wha? And it's downhill from there. Which is a pity because there was a lot of humor knitted up in that mix and if they'd only have spilled a little nuditynot metaphoricallyonto the screen they might have ignited a minor hit. At least a 7-star hit from me."	5
 More subtle than expected		7
