Comment Head	Comment Body	Comment Rating
 Entertaining and fun.		7
 Dissect and find more than the obvious	It sounds stupid to try and dissect a film like this that was made for pure amusement of children and families alike. But, it's not at all unreasonable. Sure it's quirky, stupid, and laughable. But, the manufactured King Arthur's Court supplies the setting for a young man's triumph over his battle with his own self esteem and lack of dignity. In an our era where we would call Calvin (Nichols) a geek, dweeb, etc. But, when he is transformed into another world where he is feared, respected, and set on a high honor for his vi rage of instruments, (Rollerblades, Mad Dog Bubblegum, Rock N Roll) and his curious language (cool is hot?). But, in the end he comes to grips with reality, and with himself. He comes to realize that he is more than what people may think of him. He gains courage and self respect. Now, even if that is done in a pop culture/bubble gum sort of way, it should be respected.Plus Kate Winslet looks just as hot now as she did ten years ago.	8
 Charming blend of fantasy and comedy with a message		9
 Merlin's Reds	"Spoilers herein.The magic of the legend is that it is presented through the prism of Merlin's magic. It is the English thread of self-referential literature that balances the Spanish Don Quixote. In this thread, the teller is a magician and all of the ""reality"" we see is fabricated as the illusion, some of which sometimes exceeds the control of the teller.Disney on the other hand is the great flattener, someone who squeezes all the subtleties and depth out of a story in order to appear to the lowbrow as lowbrow.In between, we have the illustrious Mark Twain. I say Illustrious because his talent was in taking all sorts of literary devices and recasting them as scenes that have commonplace reality.Here we have the magic of the legend (and the very root of English narrative) transformed into American vision by Twain and then flattened to cartoon by Walt's zombies. It is interesting if for no other reason than as a lesson in how the narrative form gets shaped.But for me, there are two other features. This has Kate Winslet as the focus. She had just done ""Heavenly Creatures,"" a project based on exposing the plastic nature of film reality. With that, she started a brilliant career. After this, she would be introduced to Americans through ""Sense and Sensibilities"" which tackles to other side of invented reality. Here, she figures in a odd way as the manipulator of events.The other notable thing is the influence of Disney's fabled Character Lab. This is the lab that is -- among other things -- reinventing what it means to see redheads. Every female in this is a redhead of some sort: Calvin's Mom and sister: his girlfriend and HER sister (Kate). Ted's Evaluation -- 1 of 3: You can find something better to do with this part of your life."	
 A fairly awkward family adventure film		5
 Bearable; sends a positive message; funny	I've owned this movie on video for quite sometime. Unlike some other Disney disasters from the nineties, this one does a suitable job. Its funny (if not always historically accurate; there was no King Arthur) and the actor who plays calvin is so clueless you gotta love him. Thumbs up to the boy toy. Very cute. Warm.	5
 Good adaptation of Mark Twain's story	I just finished watching this as a Sunday night Disney movie on TV. I found this to be a pretty faithful to the IDEA of Mark Twain's original story. Granted it didn't even TRY to follow the original plot, however I don't think that was ever the intention.Taking it as a new work, based on the theme of the original, and not as an adaptation of the original, I think this was well done, and the identity of the black knight SHOULD have been obvious, but it took me by complete surprise.Kate Winslet does a very good job as the Princess, and Patrick Macnee does an excellent job as Merlin.All in all a very enjoyable FAMILY movie with no bloody violence and not a single bad word that I can recall.	8
 Shockingly awful	I watched this movie during the school holidays at my grandparents, solely for the reason that it had the very cool Ron Moody in it. Poor guy. He must have been desperate to star in this shocker of a movie. The only reason I finished watching this was so I didn't have to talk to my grandparents. I mean, honestly, you'd think that the producers would just be a little bit more worried about setting the medieval scene as opposed to having modern day attitudes with some cheap old costumes thrown in. When that kid played his music to the court, anyone who knows any vague something about that period would know that they probably would have KILLED him, thinking he was the devil or something. Plus the fact that women were allowed to fight, to talk to young men alone, to marry who they wanted to... I know this is meant to be a kids movie, but Disney has really underestimated the intelligence of the younger generation with this shocker. It's a miracle Kate Winslet became a star after this.	
 The Vidiot Reviews....		5
 if only...	if Kate Winslet wasn't in this film i would have never bothered with it.the main kid Kevin is such a loser with the softest voice i wonder how anyone can ever imagine him being a threat.Princess Katey has a horrible accent, not to mention they ruined her character.the only good thing about this film is Kate Winslet, Daniel Craig and Ark Milk. and if only the story was focus on them and their almost love triangle, it would score much higher.Kate Winslet looks every inch the princess and is obviously the best fighter in the film, and the most useful character.Daniel Craig has a head full of blonde hair and a British accent. nuff said.	4
 Kate Winslet at her hottest!	"If you get your kicks from medieval, lesbianic sex than this is not the movie for you. Princess Katey is plenty cute, but this is the hottest you'll see Kate Winslet: when she was young and fresh, before her state of perpetual pregeancy.SPOILERS HEREIN:Calvin Fuller is your average Californian teen, who just can't catch a break. After another dissapointing baseball game, the Big One hits California. As all the spectators and players run for their lives, Kevin runs back into the dugout to get his backpack. The ground opens up, and Kevin plummets into a neverending hole, retaining miraculous composure considering his situation. He lands in King Arthur's Court and quickly adapts to his new surroundings. Rather than wondering, ""Where the hell am I?"" his mind is peoccupied with thoughts such as ""Who is the Black Knight?"", and ""Where is the bathroom?"" Soon Kevin must contend with evildoers within the kingdom to win the affection of the woman he loves. A hilarious fish out of water movie, ""Kid in King Arthur's Court"" is well worth your time and all of your money. Run down to your local rental store and 'joust' rent ""A Kid in King Arthur's Court"", for a 'knight' of medieval fun!"	
 fantasy too off base		
 A sad excuse for a movie, plot wise, but the acting was okay, with a few exceptions.	A Kid in King Authurs Court is just about the worst Disney movie I have ever seen. The plot was fairly predictable, except for Princess Sarah being the black knight. I mean, come on, a Disney movie where the princess doens't marry her true love? Puh-lease! The acting was okay, Thomas Ian Nicholas was okay, but seemed to be there mostly for eye candy. I thought Paloma Baeza did a good job as princess katy, but wasn't as fantastic as I think she could be in other roles. Kate Winslet, as usual, did completely fantastic as Princess Sarah, as in all her other roles, she added a lot to the movie. If it wasn't for her I wouldn't even have watched the movie anyways. Art Malik was quite good as Lord Belasco, and Ron Moody was a great choice for Merlin. So, mostly good acting, but a not so story.	3
